Driver,Italian GP,Belgian GP,British GP,Austrian GP,Australian GP,Saudi Arabian GP
OSCAR PIASTRI,245.142,,233.435,222.507,233.611,235.731
MAX VERSTAPPEN,244.659,231.49,234.922,231.97,236.498,241.838
CARLOS SAINZ,243.912,222.864,232.116,225.679,236.131,239.451
SERGIO PEREZ,243.853,228.581,233.271,228.227,236.814,241.098
CHARLES LECLERC,243.687,228.316,232.399,225.876,,238.849
LEWIS HAMILTON,243.682,234.978,234.221,224.765,235.703,239.145
PIERRE GASLY,243.181,227.339,231.678,225.136,234.592,237.99
GEORGE RUSSELL,242.929,227.972,232.733,224.366,229.811,240.459
NICO HULKENBERG,242.796,229.415,231.08,218.737,234.219,237.005
ZHOU GUANYU,242.545,228.83,231.097,222.749,232.229,236.718
VALTTERI BOTTAS,242.531,228.153,230.888,222.259,231.06,235.489
FERNANDO ALONSO,242.201,227.283,232.188,224.934,236.105,240.962
LANDO NORRIS,242.092,225.769,234.226,226.142,234.077,236.144
KEVIN MAGNUSSEN,241.716,227.171,227.169,221.511,232.61,238.036
ALEX ALBON,241.405,229.553,232.353,223.473,227.966,232.574
LANCE STROLL,240.77,226.55,231.756,227.054,234.769,233.617
LOGAN SARGEANT,240.152,228.213,231.274,223.309,233.264,235.277
ESTEBAN OCON,239.812,228.31,225.754,222.714,233.991,238.424
YUKI TSUNODA,,226.353,230.307,223.28,232.314,236.624
NYCK DE VRIES,,,229.636,222.539,234.049,237.438